Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25C) (uS/cm),Salinity (Sal),Temperature (C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),data_source,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml)
Villa Hayes,PVH-280,2018-10-17,8:25,October 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Confuso,NA,25 6 26.46,57 32 48.06,-25.1073,-57.5467,NA,NA,9300,83.6,6.58,18.8,107.8,0,24.4,3.41,41.1,25.6,86.9,76,10.9,125,25,0,20.2,13.7,7.81,4.67,1.76,15.56,25.2,5.08,1.79,16.04,27.19,0.745,0.223,0.064,0.037,0.987,0.193,3.5,67.63,NA,37800,2520,NA,NA,21483000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puente Loyola,APL-320,2018-10-16,12:05,October 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Paraguay,25 15 52.2,57 43 28.86,-25.2645,-57.7247,NA,NA,7300,63.2,6.74,9.5,137,0,24.1,2.6,31.2,58.1,131,98.5,32.5,125,19,0,22.7,15.7,12.13,4.13,2.25,20.75,4.16,5.18,2.32,20.84,6.11,1.245,0.374,0.12,0.18,0.823,0.801,1.8,75.36,NA,44640,2480,NA,NA,12958000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clorinda,ACL-310,2018-10-16,11:10,October 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Porteño,El Porteño,25 15 55.44,57 43 43.86,-25.2654,-57.7289,NA,NA,991,109.4,7.05,-9,1008,0.4,23.4,4.53,53.7,25.5,662,642.3,19.7,150,120,0,60.6,124.4,239.47,44.82,10.61,176.34,8.33,54.99,14.37,197.78,8.64,0.871,0.247,0.12,0.074,0.54,0.26,1.4,83.09,NA,81580,12360,NA,NA,24470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruta 11,AR11-290,2018-10-16,9:05,October 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Montelindo,NA,25 47 16.26,58 1 16.56,-25.7878,-58.0213,NA,NA,532,NA,7.5,-35.1,1879,0.9,22.6,6.09,71.2,52.1,1216,1184.2,31.8,62,225,0,100,256.7,414.74,76.05,31.81,350.69,7.31,87.35,33.94,400.41,8.31,1.82,0.561,0.07,0.111,1.071,0.245,1.9,77.3,NA,12430,3660,NA,NA,17105000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Josecito,BSJ-130,2018-09-06,8:05,September 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilaya,Unidad 6,21 9 7.56,64 14 2.58,-21.1521,-64.234,0.379,11,830,195.3,8.587,-92.6,1205,0.5,17.3,9,103.3,12.7,942,933,9,11,410.1,76.05,350,118.9,458.1,113.7,64.1,84.7,30,113.8,68.5,105,31.4,0.15,0.09,0.21,NA,0.14,0.81,3,4.5,NA,NA,NA,120,43,15000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puente Aruma - Automática,BPA-140,2018-09-05,15:00,September 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,20 54 49.68,64 6 37.62,-20.9138,-64.1105,0.29,28,747,222,8.677,-98.9,1338,0.6,21.1,9.53,116,13.6,913,904,9,15.5,551.3,76.49,332.5,237.5,320.7,86.93,45.6,155,7.63,91.7,46.1,163,8.6,0.12,0.015,0.21,NA,0.16,0.52,1.6,4,NA,NA,NA,150,75,6600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villamontes,BVI-150,2018-09-05,6:45,September 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,21 15 29.16,63 30 41.88,-21.2581,-63.5116,0.21,31,663,196.4,8.5,-90.2,1507,0.7,17.8,8.95,98.4,47.5,1040,1036,4,4,337.2,2.5,125,227.6,282.2,57.5,47.02,180.8,10.6,57.97,47.02,184.6,10.6,0.31,0.15,0.17,0.01,0.005,1.4,2.5,13,6,0,0,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Potrillo,AEP-180,2018-09-04,11:40,September 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Estrella,Bañado La Estrella,23 8 14.46,61 57 49.32,-23.1374,-61.9637,NA,NA,670,205,8.375,-80.9,1494,0.7,18.1,9.3,100.1,560,1430,940,478,4,436,NA,172,208,358,89,52,160,8,NA,NA,NA,NA,NA,0.1,0.09,0.015,3,NA,2,1,NA,NA,NA,280,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
María Cristina,AMC-190,2018-09-03,14:20,September 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Estrella,Bañado La Estrella,22 40 1.02,62 12 36.54,-22.667,-62.2102,NA,NA,676,214,8.335,-78.9,1479,0.7,19.1,9.55,105.2,492,1456,900,530,5,420,NA,172,211,389,85,50,160,8,NA,NA,NA,NA,NA,0.1,0.05,0.015,2,NA,1,6,NA,NA,NA,230,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Misión La Paz - SNIH,AML-170,2018-09-03,10:50,September 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,22 22 41.22,62 31 7.02,-22.3781,-62.5186,0.517,22,666,204,8.366,-79.8,1502,0.7,15.5,9.71,99.7,348,1418,999,412,8,429,NA,174,207,358,91,49,160,8,NA,NA,NA,NA,NA,0.1,0.07,0.015,4,NA,2,8,NA,NA,NA,930,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruta 28-Vertedero,AR28-300,2018-09-02,13:15,September 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Estrella,Bañado La Estrella,24 21 31.02,60 18 23.04,-24.3586,-60.3064,NA,NA,738,115.6,7.8,-46,1356,0.6,14.2,5.66,55.7,0.35,904,900,2,17,425,NA,190,160,320,128,25,143,7,NA,NA,NA,NA,NA,0.1,0.09,0.015,3,NA,1,17,NA,NA,NA,39000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salida Laguna Salada,ASL-270,2018-09-02,10:00,September 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Salada,NA,24 42 25.86,59 38 47.1,-24.7072,-59.6464,NA,NA,228,182.3,8.088,-64,4400,2.3,15.7,8.72,87.8,57.7,3198,3012,134,16,828,NA,261,596,1346,177,94,820,69,NA,NA,NA,NA,NA,0.1,0.14,0.015,5,NA,2,15,NA,NA,NA,750,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruta 95,AR95-220,2018-09-02,7:00,September 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Montelindo,NA,25 8 55.2,59 40 45.9,-25.1487,-59.6794,NA,NA,28.3,151.3,8.405,-80.5,35400,21.8,11,7.96,72.6,64,36004,33800,2198,27,4328,NA,416,5561,20415,603,685,10044,588,NA,NA,NA,NA,NA,2.3,0.025,0.03,10,NA,7,62,NA,NA,NA,1500,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liviara,ALI-020,2018-08-30,11:00,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,OrosMay,NA,22 31 59.76,66 20 53.1,-22.5333,-66.3481,0.451,0,1180,140.9,8.403,-79,847,0.3,5.3,8.48,106.3,16.6,569,562,7,5,136.1,10,95,173.5,58.1,37.67,10.21,113.5,10.7,37.67,10.21,114.1,10.7,0.31,0.15,0.03,0.01,1.72,1.1,2.5,5,3,0,0,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Quiaca,ALQ-040,2018-08-28,14:50,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Quiaca,Unidad 5,22 5 51.66,65 35 9.84,-22.0977,-65.5861,0.496,0,1027,76.1,8.622,-95.3,969,0.4,18.9,3.4,55.7,110,673,590,83,44,190.1,5,250,92.7,83.6,23.24,32.08,83.4,16.7,27.55,32.57,83.4,16.9,10.49,9.93,10.73,0.01,0.9,11.3,284,310,1798,81000,72000,NA,NA,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,5e-4,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palca Grande,BPG-110,2018-08-27,16:45,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,20 44 32.16,65 14 28.32,-20.7423,-65.2412,0.48,6,865,160.5,8.532,-89.7,1156,0.5,17.4,7.4,102.6,49,1017,966,51,6,520.5,5,120,54.1,422.8,33.66,105.99,70.3,7.5,33.66,105.99,89.4,7.5,0.46,0.15,1.12,0.01,0.005,1.1,2.5,1,1,88,38,NA,NA,8200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Puente,BEP-100,2018-08-27,14:45,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,21 14 19.14,65 12 38.52,-21.2386,-65.2107,0.522,3,723,183,8.546,-90.6,1382,0.6,18.8,8.2,116.8,5.63,1192,1188,4,5,582.5,10,150,80.3,522.1,84.16,90.43,104.4,7.2,84.16,90.43,106.2,7.2,0.31,0.09,0.98,0.01,0.005,0.8,2.5,1,1,36,20,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuquiago,BCH-060,2018-08-16,15:25,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,21 33 37.44,65 38 51.72,-21.5604,-65.6477,0.734,4,862,150.6,8.565,-86.3,1161,0.5,18.2,6.83,102.2,37.8,940,928,12,2,470.4,5,165,55.3,329,29.65,96.3,98,5.5,30.46,96.8,98,5.6,0.43,0.28,0.58,0.01,0.005,0.7,2.5,1,1,80,0,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Angostura,BTP-090,2018-08-16,14:00,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,21 30 15.6,65 42 21.96,-21.5043,-65.7061,0.523,1,672,238,8.817,-101.6,1489,0.7,20.8,10.27,162.9,24.9,1309,1306,3,10,714.7,2.5,165,60.1,614,26.45,157.52,96.2,6.9,28.85,158.98,102.2,7,0.83,0.71,2.58,0.01,0.005,1.4,2.5,11,10,170,20,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,5e-4,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotagaita,BCO-070,2018-08-16,10:45,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,20 49 14.46,65 40 2.88,-20.8207,-65.6675,0.804,2,615,160.5,8.201,-64.8,1625,0.8,14,7.91,104.8,81.6,1669,1630,39,3,850.8,2.5,700,40,800.6,44.88,179.4,84.2,5.8,46.49,183.78,84.3,6.6,0.34,0.15,3.1,0.01,0.005,0.7,2.5,1,1,40,15,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tumusla,BTU-080,2018-08-16,8:30,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,20 29 11.22,65 37 11.64,-20.4865,-65.6199,0.605,5,1527,155.9,8.545,-82.6,655,0.2,9.6,8.47,100.4,132,551,480,123,12,298.3,2.5,110,36.4,166.4,16.03,62.71,58.8,4.7,17.63,63.2,59.9,4.7,0.83,0.34,0.71,0.01,0.005,0.7,2.5,1,1,220,8,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potosí - Naciente río La Ribera,BNR-010,2018-08-15,13:25,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,19 35 51.42,65 43 52.44,-19.5976,-65.7312,0.046,0,5010,121.6,7.7,-36.3,199.2,0,11.3,6.35,96.9,4.87,117,114,3,23,86,2.5,75,6.2,15.4,21.64,7.77,9.3,1.7,21.64,9.23,9.3,2.7,0.18,0.09,0.08,0.01,0.005,0.7,2.5,1,1,90,0,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarapaya,BTA-050,2018-08-15,10:40,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.66,65 47 39.6,-19.471800000000002,-65.7943,0.71,1,1160,131.1,7.961,-50.4,861,0.3,7.7,7.43,92.6,98.9,622,544,78,16,214.2,2.5,115,66.7,177.4,37.67,29.17,81.9,12.5,38.47,29.17,83.7,12.5,0.52,0.49,21.24,52.22,0.005,4.2,26,45,263,120,10,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,5e-4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio - Potosí,BSA-030,2018-08-15,8:40,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.28,65 48 12.06,-19.5781,-65.8034,0.325,0,804,129.6,7.143,-5.5,1243,0.5,4.7,7.92,93.7,424,1333,844,489,17,60,2.5,2.5,68.1,387.9,9.61,8.75,79.6,21.5,9.61,8.75,79.6,21.6,0.18,0.09,35.69,0.01,1.13,6.3,48,89,514,180,64,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,5e-4,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2018-08-14,11:55,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,19 8 37.5,65 33 55.86,-19.1437,-65.5655,0.796,0,1410,149.9,8.609,-89,709,0.3,18.5,6.76,101.2,33.6,487,464,23,2,354.3,15,190,6.6,65.4,32.06,66.6,20.4,5.4,36.07,67.58,20.5,5.9,0.8,0.25,1.2,0.01,0.005,1.1,2.5,1,1,10,3,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2018-08-14,10:20,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,19 7 56.58,65 34 19.98,-19.1324,-65.5722,0.915,5,1030,156.7,8.465,-78.7,969,0.4,10.8,8.75,103.9,63.2,630,582,48,15,196.2,2.5,115,153.7,111.8,30.46,29.17,141.6,9.1,33.66,30.14,143.4,9.2,1.04,0.86,0.36,0.01,2.21,7.8,2.5,1,1,11,9,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,5e-4,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colavi - Canutillos,BC7-113,2018-08-13,13:20,August 2018,UMyCD,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.4,65 33 7.26,-19.3215,-65.552,0.535,0,3660,136.5,5.828,67.2,273,0,12.5,6.95,101.3,68,194,180,14,3,88,2.5,2.5,2.8,392.5,22.44,7.77,2.1,1.2,25.65,13.61,2.2,1.2,0.15,0.03,0.31,0.01,3.14,1.1,2.5,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,5e-4,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2018_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
