OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
304,1,304,2769,2762.2261810686805,30400,-0.0036156464915484323
305,1,305,2760,2761.864218739973,30500,-0.0036196232870770472
306,1,306,2776,2761.501854890369,30600,-0.003623638496037529
307,1,307,2774,2761.1390856785292,30700,-0.003627692118398045
308,1,308,2789,2760.775907263111,30800,-0.003631784154181332
309,1,309,2784,2760.4123158027724,30900,-0.0036359146033873913
310,1,310,2785,2760.048307456172,31000,-0.0036400834660025795
311,1,311,2756,2759.6826051372486,31100,-0.0036570231892346784
312,1,312,2772,2759.3139990108994,31200,-0.003686061263492775
313,1,313,2756,2758.9425861122213,31300,-0.0037141289867804518
314,1,314,2793,2758.5684634763115,31400,-0.003741226359097709
315,1,315,2766,2758.191728138266,31500,-0.003767353380453642
316,1,316,2757,2757.8124771331813,31600,-0.00379251005084825
317,1,317,2754,2757.430807496156,31700,-0.0038166963702542488
318,1,318,2751,2757.0468162622838,31800,-0.0038399123387216605
319,1,319,2750,2756.660600466664,31900,-0.003862157956195915
320,1,320,2752,2756.272257144393,32000,-0.003883433222713393
321,1,321,2750,2755.8818833305654,32100,-0.003903738138274093
322,1,322,2751,2755.4895760602794,32200,-0.0039230727028598264
323,1,323,2750,2755.0954323686324,32300,-0.003941436916470593
324,1,324,2748,2754.699549290721,32400,-0.003958830779115487
325,1,325,2749,2754.3020238616405,32500,-0.003975254290803604
326,1,326,2762,2753.902953116489,32600,-0.003990707451516755
327,1,327,2759,2753.5024340903615,32700,-0.004005190261273129
328,1,328,2764,2753.1005638183574,32800,-0.004018702720040892
329,1,329,2752,2752.6974393355713,32900,-0.004031244827860974
330,1,330,2748,2752.2931576771007,33000,-0.0040428165847060885
331,1,331,2748,2751.8878158780417,33100,-0.0040534179905898785
332,1,332,2747,2751.4815109734914,33200,-0.004063049045503249
333,1,333,2749,2751.074339998547,33300,-0.004071709749441652
334,1,334,2746,2750.666399988305,33400,-0.004079400102423279
335,1,335,2746,2750.2577879778614,33500,-0.004086120104434485
336,1,336,2746,2749.848601002314,33600,-0.004091869755475272
337,1,337,2746,2749.4389360967584,33700,-0.004096649055554735
338,1,338,2745,2749.0288902962925,33800,-0.004100458004659231
339,1,339,2745,2748.6185606360114,33900,-0.004103296602811497
340,1,340,2745,2748.2080441510143,34000,-0.004105164849970606
341,1,341,2745,2747.797437876395,34100,-0.004106062746191128
342,1,342,2745,2747.3868388472524,34200,-0.004105990291427588
343,1,343,2746,2746.9763440986826,34300,-0.004104947485698176
344,1,344,2745,2746.5660506657823,34400,-0.004102934329002892
345,1,345,2744,2746.1560555836477,34500,-0.004099950821346283
346,1,346,2744,2745.7464558873753,34600,-0.004095996962723803
347,1,347,2741,2745.3373486120636,34700,-0.00409107275311726
348,1,348,2741,2744.9288307928077,34800,-0.0040851781925584875
349,1,349,2743,2744.520999464705,34900,-0.004078313281029295
350,1,350,2741,2744.113951662852,35000,-0.004070478018529684
351,1,351,2742,2743.7077844223445,35100,-0.004061672405073296
352,1,352,2739,2743.302594778281,35200,-0.0040518964406328455
353,1,353,2740,2742.898479765757,35300,-0.004041150125240165
354,1,354,2740,2742.49553641987,35400,-0.004029433458872518
355,1,355,2741,2742.093861775716,35500,-0.004016746441538999
356,1,356,2741,2741.6935528683916,35600,-0.004003089073244155
357,1,357,2738,2741.2947067329947,35700,-0.003988461353969797
358,1,358,2739,2740.897420404621,35800,-0.003972863283738661
359,1,359,2738,2740.501790918367,35900,-0.003956294862537107
360,1,360,2737,2740.1079153093297,36000,-0.003938756090374227
361,1,361,2737,2739.7158906126065,36100,-0.003920246967231833
362,1,362,2735,2739.325813863294,36200,-0.003900767493123567
363,1,363,2737,2738.937782096488,36300,-0.0038803176680630713
364,1,364,2737,2738.5518923472855,36400,-0.003858897492023061
365,1,365,2736,2738.168241650784,36500,-0.003836506965017179
366,1,366,2736,2737.7869270420792,36600,-0.0038131460870454246
367,1,367,2735,2737.4080455562685,36700,-0.0037888148581077985
368,1,368,2735,2737.031694228448,36800,-0.0037635132782043003
369,1,369,2734,2736.657970093716,36900,-0.0037372413473212873
370,1,370,2734,2736.2869701871673,37000,-0.003709999065486045
371,1,371,2734,2735.9187915438993,37100,-0.0036817864326803827
372,1,372,2733,2735.553531199009,37200,-0.0036526034489043012
