OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
207,1,207,2539,2540.6264391831064,20700,-0.00548058983977171
208,1,208,2540,2540.0776505484737,20800,-0.005487886346327286
209,1,209,2539,2539.5282222284973,20900,-0.005494283199764141
210,1,210,2540,2538.97824418849,21000,-0.005499780400073178
211,1,211,2539,2538.427806393764,21100,-0.005504377947258945
212,1,212,2538,2537.8769988096324,21200,-0.005508075841316895
213,1,213,2537,2537.325911401407,21300,-0.005510874082251576
214,1,214,2536,2536.7746341344014,21400,-0.005512772670058439
215,1,215,2535,2536.223256973927,21500,-0.005513771604742032
216,1,216,2536,2535.671869885298,21600,-0.005513870886293262
217,1,217,2536,2535.1205628338244,21700,-0.005513070514734863
218,1,218,2535,2534.5694257848218,21800,-0.005511370490025911
219,1,219,2535,2534.0185487036,21900,-0.005508770812216426
220,1,220,2533,2533.468021555473,22000,-0.005505271481270029
221,1,221,2533,2532.917934305754,22100,-0.005500872497191267
222,1,222,2532,2532.3683769197546,22200,-0.005495573859993783
223,1,223,2532,2531.8194393627873,22300,-0.0054893755696730296
224,1,224,2531,2531.2712116001653,22400,-0.005482277626219912
225,1,225,2530,2530.7237835972,22500,-0.005474280029652619
226,1,226,2529,2530.175241596066,22600,-0.005485420011341375
227,1,227,2529,2529.6237860465244,22700,-0.0055145554954151525
228,1,228,2529,2529.069678225273,22800,-0.005541078212513639
229,1,229,2528,2528.5131794090107,22900,-0.005564988162623194
230,1,230,2527,2527.9545508744327,23000,-0.005586285345780198
231,1,231,2527,2527.394053898239,23100,-0.005604969761939174
232,1,232,2526,2526.8319497571256,23200,-0.005621041411131955
233,1,233,2526,2526.2684997277897,23300,-0.005634500293358542
234,1,234,2525,2525.7039650869306,23400,-0.005645346408591649
